"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"2",2019-12-08,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"3",2019-12-15,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"4",2019-12-22,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"5",2019-12-29,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"6",2020-01-05,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"7",2020-01-12,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"8",2020-01-19,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"9",2020-01-26,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"10",2020-02-02,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"11",2020-02-09,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"12",2020-02-16,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"13",2020-02-23,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"14",2020-03-01,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"15",2020-03-08,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"16",2020-03-15,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"17",2020-03-22,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"18",2020-03-29,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"19",2020-04-05,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"20",2020-04-12,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"21",2020-04-19,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"22",2020-04-26,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"23",2020-05-03,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"24",2020-05-10,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"25",2020-05-17,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"26",2020-05-24,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"27",2020-05-31,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"28",2020-06-07,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"29",2020-06-14,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"30",2020-06-21,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"31",2020-06-28,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"32",2020-07-05,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"33",2020-07-12,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"34",2020-07-19,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"35",2020-07-26,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"36",2020-08-02,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"37",2020-08-09,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"38",2020-08-16,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"39",2020-08-23,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"40",2020-08-30,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"41",2020-09-06,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"42",2020-09-13,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"43",2020-09-20,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"44",2020-09-27,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"45",2020-10-04,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"46",2020-10-11,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"47",2020-10-18,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"48",2020-10-25,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"49",2020-11-01,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"50",2020-11-08,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"51",2020-11-15,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"52",2020-11-22,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"53",2020-11-29,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"54",2020-12-06,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"55",2020-12-13,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"56",2020-12-20,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"57",2020-12-27,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"58",2021-01-03,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"59",2021-01-10,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"60",2021-01-17,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"61",2021-01-24,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"62",2021-01-31,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"63",2021-02-07,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"64",2021-02-14,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"65",2021-02-21,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"66",2021-02-28,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"67",2021-03-07,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"68",2021-03-14,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"69",2021-03-21,"2","British Council","LK","2019-12-01 2021-08-15","web",0
"70",2021-03-28,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"71",2021-04-04,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"72",2021-04-11,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"73",2021-04-18,"1","British Council","LK","2019-12-01 2021-08-15","web",0
"74",2021-04-25,"<1","British Council","LK","2019-12-01 2021-08-15","web",0
"75",2021-05-02,"1","British Council","LK","2019-12-01 2021-08-15","web",0
