date,Brookings,Common Sense Education,Commonweatlh of Learning,Education Nation,EdSurge,Global Business Coalition for Education,Keep Learning Going,Koulu.me,Organisation internationale de la Francophonie,UNEVOC Resources,UNHCR
12/12/2021,45,0,0,0,0,0,0,0,0,0,0
12/19/2021,31,0,0,18,0,0,0,0,0,0,0
12/26/2021,0,0,0,0,0,0,0,0,0,0,0
1/2/2022,24,0,0,23,0,0,0,0,0,0,0
1/9/2022,33,0,0,25,0,0,0,0,0,0,0
1/16/2022,30,0,0,21,0,0,0,0,0,0,0
1/23/2022,41,0,0,26,0,0,0,0,0,0,0
1/30/2022,46,0,0,23,0,0,0,0,0,0,0
2/6/2022,32,0,0,25,0,0,0,0,0,0,0
2/13/2022,35,0,0,37,0,0,0,0,0,0,17
2/20/2022,44,0,0,19,0,0,0,0,0,0,24
2/27/2022,40,0,0,30,0,0,0,0,0,0,19
3/6/2022,52,0,0,26,0,0,0,0,0,0,20
3/13/2022,46,0,0,26,0,0,0,0,0,0,14
3/20/2022,36,0,0,23,0,0,0,0,0,0,13
3/27/2022,61,0,0,24,0,0,0,0,0,0,0
4/3/2022,45,0,0,20,0,0,0,0,0,0,13
4/10/2022,30,0,0,28,0,0,0,0,0,0,0
4/17/2022,33,30,0,21,0,0,0,0,0,0,16
4/24/2022,32,0,0,22,0,0,0,0,0,0,0
5/1/2022,45,0,0,18,0,0,0,0,0,0,11
5/8/2022,25,0,0,20,0,0,0,0,0,0,20
5/15/2022,37,0,0,21,0,0,0,0,0,0,14
5/22/2022,37,0,0,21,0,0,0,0,0,0,14
5/29/2022,32,0,0,27,0,0,0,0,0,0,13
6/5/2022,36,0,0,13,0,0,0,0,0,0,0
6/12/2022,37,0,0,15,0,0,0,0,0,0,0
6/19/2022,28,0,0,0,0,0,0,0,0,0,17
6/26/2022,22,15,0,14,0,0,0,0,0,0,0
7/3/2022,25,0,0,23,0,0,0,0,0,0,0
7/10/2022,24,0,0,20,0,0,0,0,0,0,0
7/17/2022,30,0,0,18,0,0,0,0,0,0,14
7/24/2022,35,0,0,0,0,0,0,0,0,0,0
7/31/2022,42,0,0,21,0,0,0,0,0,0,0
8/7/2022,33,0,0,24,0,0,0,0,0,0,0
8/14/2022,42,0,0,20,0,0,0,0,0,0,16
8/21/2022,58,15,0,18,0,0,0,0,0,0,0
8/28/2022,55,17,0,22,13,0,0,0,0,0,0
9/4/2022,45,0,0,31,0,0,0,0,0,0,0
9/11/2022,38,0,0,25,0,0,0,0,0,0,13
9/18/2022,45,0,0,28,0,0,0,0,0,0,13
9/25/2022,42,0,0,33,0,0,0,0,0,0,15
10/2/2022,49,21,0,30,0,0,0,0,0,0,13
10/9/2022,42,0,0,23,0,0,0,0,0,0,0
10/16/2022,45,16,0,23,0,0,0,0,0,0,13
10/23/2022,46,0,0,25,0,0,0,0,0,0,16
10/30/2022,47,0,0,28,0,0,0,0,0,0,0
11/6/2022,38,0,0,32,0,0,0,0,0,0,15
11/13/2022,33,0,0,30,0,0,0,0,0,0,17
11/20/2022,32,0,0,26,0,0,0,0,0,0,0
11/27/2022,39,0,0,28,0,0,0,0,0,0,14
12/4/2022,56,0,0,24,0,0,0,0,0,0,13
12/11/2022,100,0,0,31,0,0,0,0,0,0,0
12/18/2022,17,0,0,23,0,0,0,0,0,0,0
12/25/2022,0,0,0,19,0,0,0,0,0,0,0
1/1/2023,35,0,0,22,0,0,0,0,0,0,0
1/8/2023,49,0,0,20,0,0,0,0,0,0,13
1/15/2023,25,0,0,28,0,0,0,0,0,0,19
