"","date","hits","keyword","geo","time","gprop","category"
"82",2018-04-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"83",2018-05-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"84",2018-06-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"85",2018-07-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"86",2018-08-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"87",2018-09-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"88",2018-10-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"89",2018-11-01,"12","Online teaching","world","2017-12-01 2024-04-30","web",0
"90",2018-12-01,"11","Online teaching","world","2017-12-01 2024-04-30","web",0
"91",2019-01-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"92",2019-02-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"93",2019-03-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"94",2019-04-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"95",2019-05-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"96",2019-06-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"97",2019-07-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"98",2019-08-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"99",2019-09-01,"16","Online teaching","world","2017-12-01 2024-04-30","web",0
"100",2019-10-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"101",2019-11-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"102",2019-12-01,"11","Online teaching","world","2017-12-01 2024-04-30","web",0
"103",2020-01-01,"16","Online teaching","world","2017-12-01 2024-04-30","web",0
"104",2020-02-01,"16","Online teaching","world","2017-12-01 2024-04-30","web",0
"105",2020-03-01,"38","Online teaching","world","2017-12-01 2024-04-30","web",0
"106",2020-04-01,"43","Online teaching","world","2017-12-01 2024-04-30","web",0
"107",2020-05-01,"39","Online teaching","world","2017-12-01 2024-04-30","web",0
"108",2020-06-01,"39","Online teaching","world","2017-12-01 2024-04-30","web",0
"109",2020-07-01,"40","Online teaching","world","2017-12-01 2024-04-30","web",0
"110",2020-08-01,"35","Online teaching","world","2017-12-01 2024-04-30","web",0
"111",2020-09-01,"33","Online teaching","world","2017-12-01 2024-04-30","web",0
"112",2020-10-01,"24","Online teaching","world","2017-12-01 2024-04-30","web",0
"113",2020-11-01,"20","Online teaching","world","2017-12-01 2024-04-30","web",0
"114",2020-12-01,"22","Online teaching","world","2017-12-01 2024-04-30","web",0
"115",2021-01-01,"22","Online teaching","world","2017-12-01 2024-04-30","web",0
"116",2021-02-01,"21","Online teaching","world","2017-12-01 2024-04-30","web",0
"117",2021-03-01,"20","Online teaching","world","2017-12-01 2024-04-30","web",0
"118",2021-04-01,"21","Online teaching","world","2017-12-01 2024-04-30","web",0
"119",2021-05-01,"23","Online teaching","world","2017-12-01 2024-04-30","web",0
"120",2021-06-01,"23","Online teaching","world","2017-12-01 2024-04-30","web",0
"121",2021-07-01,"23","Online teaching","world","2017-12-01 2024-04-30","web",0
"122",2021-08-01,"22","Online teaching","world","2017-12-01 2024-04-30","web",0
"123",2021-09-01,"21","Online teaching","world","2017-12-01 2024-04-30","web",0
"124",2021-10-01,"18","Online teaching","world","2017-12-01 2024-04-30","web",0
"125",2021-11-01,"16","Online teaching","world","2017-12-01 2024-04-30","web",0
"126",2021-12-01,"16","Online teaching","world","2017-12-01 2024-04-30","web",0
"127",2022-01-01,"23","Online teaching","world","2017-12-01 2024-04-30","web",0
"128",2022-02-01,"22","Online teaching","world","2017-12-01 2024-04-30","web",0
"129",2022-03-01,"22","Online teaching","world","2017-12-01 2024-04-30","web",0
"130",2022-04-01,"20","Online teaching","world","2017-12-01 2024-04-30","web",0
"131",2022-05-01,"20","Online teaching","world","2017-12-01 2024-04-30","web",0
"132",2022-06-01,"20","Online teaching","world","2017-12-01 2024-04-30","web",0
"133",2022-07-01,"19","Online teaching","world","2017-12-01 2024-04-30","web",0
"134",2022-08-01,"19","Online teaching","world","2017-12-01 2024-04-30","web",0
"135",2022-09-01,"18","Online teaching","world","2017-12-01 2024-04-30","web",0
"136",2022-10-01,"17","Online teaching","world","2017-12-01 2024-04-30","web",0
"137",2022-11-01,"17","Online teaching","world","2017-12-01 2024-04-30","web",0
"138",2022-12-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
